field7,field8,error_code
AUCNEGATIVE,"{""status"":401,""message"":""Authentication failed"",""error_type"":""authentication_error"",""error_code"":""GNAUE0003""}",E500      
ACS_REDIRECT,N:-5014:Validation problem,E231      
,FILTERED_FOR_MCP ,E803      
3DS_VERIFICATION_ERROR,CURL_CALL_FAILURE,E214      
REDIRECT,ECI 1 and ECI6,E1703     
REDIRECT,62 | Restricted card,E231      
3DS_METHOD_POSITIVE,Disable pg down time handling on UI so marked as bounced.,E804      
EVERROR,50021 | GENERAL ERROR,E205      
,N:93:Transaction cannot be completed,E231      
AUCNEGATIVE,0 | ,E335      
3DS_METHOD_POSITIVE,UNKNOWN_ERROR,E503      
3DS_CHALLENGE_NEGATIVE,402 | CReq message with this ACS Transaction ID has already been received and processed.,E202      
3DS_VERIFICATION_NEGATIVE,Security failure,E324      
3DS_VERIFICATION_NEGATIVE,System Error response from ACS,E208      
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | CONSUMER_AUTHENTICATION_FAILED,E202      
AUCNEGATIVE,5003 | The order already exists in the database.,E207      
AUCNEGATIVE,0 | ,E1601     
REDIRECT,57 | Transaction not permitted to issuer/cardholder,E1206     
AUCNEGATIVE,0 | OTP Generated Successfully,07        
AUCNEGATIVE,51 | Insufficient funds/over credit limit / Not sufficient funds,E231      
,Invalid CardNumber/Token/AltId or ibibo_code,E4510     
AUCNEGATIVE,Invalid Otp,E1608     
ACS_REDIRECT,DECLINED (Exceeds withdrawal amount limit),E1703     
3DS_VERIFICATION_NEGATIVE,Transaction timed out at the ACS,E231      
,PG filtering based on KTB Bin Routing ,E803      
REDIRECT,Marking transaction as dropped - CS,E231      
ALT_ID_PROV_ERROR,EA081|The network token provision request contained data that could not be verified,EA081     
ACS_REDIRECT,,E502      
,SUCCESS,E000      
REDIRECT,,E502      
AUCNEGATIVE,,E1601     
,Ibibo Code RUPAYCC is not currently active on merchant,E6010     
REDIRECT,0 | ,E231      
AUCNEGATIVE,Message Received Invalid,E500      
,,E346      
AUCNEGATIVE,,E502      
AUCNEGATIVE,Marking transaction as dropped - CS,E231      
AUCNEGATIVE,AUTHENTICATION_FAILED|Encountered a Payer Authentication problem. Payer could not be authenticated. | CONSUMER_AUTHENTICATION_FAILED,E1003     
REDIRECT,00 | Approved or completed successfully,E000      
AUCERROR,12002 | Rupay Redirect Response Timeout,E303      
ACS_REDIRECT,Marking transaction as dropped - CSW,E202      
EVNEGATIVE,56 | DECLINED (no card),E205      
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication,E1633     
AUCNEGATIVE,SECURE_3D_AUTHENTICATION_ERROR,E317      
3DS_CHALLENGE_NEGATIVE,PG_FAILED | Authentication Failed,E316      
,Ibibo Code DINR is not currently active on merchant,E6010     
ACS_REDIRECT,,E308      
3DS_CHALLENGE_NEGATIVE,TRANSACTION_INVALID,E231      
ALT_ID_PROV_ERROR,EA080|cardType is not supported :: cardType,EA080     
,FILTERED_INTERNATIONAL_PGS ,E803      
REDIRECT,Retry the transaction later,E1703     
REDIRECT,User Pressed cancel button,E1703     
REDIRECT,61 | Exceeds withdrawal amount limit(s) / Withdrawal amount limit exc,E909      
EVPOSITIVE,,E1611     
AUCNEGATIVE,0 | ,E231      
EVPOSITIVE,0 | ,E231      
AUCNEGATIVE,912 | Transaction not permitted to cardholder,E335      
3DS_CHALLENGE_NEGATIVE,TRANSACTION_INVALID,E1206     
AUCNEGATIVE,0 | OTP Generated Successfully,E502      
AUCNEGATIVE,transactionid,E1302     
3DS_CHALLENGE_NEGATIVE,919 | Exceeds ACS maximum challenges,E202      
EVNEGATIVE,10024 | MRN passed in request is duplicate,E1101     
3DS_CHALLENGE_POSITIVE,,E231      
,Check for New information before retry,E1703     
REDIRECT,,E501      
AUCNEGATIVE,0 | OTP Generated Successfully,96        
ACS_REDIRECT,Element missing,E2502     
REDIRECT,Unable to authorize,E1703     
,NON SUFFICIENT FUNDS,E1703     
AUCNEGATIVE,Blc|202 | Blc|Transaction processed for 3D Secure/Bank's Page. Waiting for Verification OTP/Password verification.,E335      
EVNEGATIVE,400 | General Error,E500      
,,E6008     
AUCERROR,AUTHENTICATION_FAILED|UNKNOWN_ERROR,E501      
,,E1611     
EVPOSITIVE,,E000      
,N:ACCU400:User was Inactive,E231      
3DS_METHOD_ERROR,Blc| | Blc|,E1645     
3DS_CHALLENGE_POSITIVE,UNKNOWN_ERROR,E501      
ALT_ID_PROV_ERROR,EA080|400,EA080     
AUCNEGATIVE,Transaction timed-out.,E500      
AUCNEGATIVE,AUTHENTICATION_FAILED | 150,E309      
REDIRECT,N:51:NON SUFFICIENT FUNDS,E231      
,Invalid transaction,E1703     
AUCNEGATIVE,Invalid Otp,E308      
3DS_METHOD_POSITIVE,Marking transaction as dropped - CSW,E501      
3DS_METHOD_ERROR,,E1302     
3DS_CHALLENGE_NEGATIVE,E317 | Failed Eci Txn Allowed for Authorize,E202      
ACS_REDIRECT,GW00462 | Invalid Tranportal Password.,E231      
3DS_CHALLENGE_NEGATIVE,914 | Transaction timed out at the ACS,E231      
ACS_REDIRECT,TRANSACTION_INVALID,E202      
,ECI 7,E1703     
ALT_ID_PROV_ERROR,|DpaId on-boarding in progress,
REDIRECT,FRAUD - Card's country blocked,E1703     
ACS_REDIRECT,Marking transaction as dropped - CS,E501      
3DS_VERIFICATION_NEGATIVE,Card authentication failed,E317      
REDIRECT,SUCCESS,E000      
AUCPOSITIVE,,
REDIRECT,Invalid transaction,E1703     
EVPOSITIVE,Marking transaction as dropped - CS,E231      
3DS_VERIFICATION_NEGATIVE,RREQ_NOT_RECEIVED,E199      
3DS_VERIFICATION_NEGATIVE,102,E231      
,,E1101     
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Issuer unable to perform authentication,E202      
,There is no eligible pg and retry are not allowed or is disabled.,E803      
3DS_METHOD_NEGATIVE,,E316      
ALT_ID_PROV_ERROR,EA081|One or more fields in the request are either missing or does not have correct value.,EA081     
AUCNEGATIVE,403,E335      
AUCNEGATIVE,Invalid Otp,E1601     
,,E312      
REDIRECT,Transaction not permitted to cardholder,E1703     
EVPOSITIVE,,E502      
REDIRECT,N0 | Unable to Authorise,E231      
,Ibibo Code MAST is not currently active on merchant,E6010     
AUCNEGATIVE,GW00201 | Transaction not found,E231      
,Transaction not permitted to cardholder,E1703     
AUCNEGATIVE,09 | Security failure,E324      
AUCNEGATIVE,,E1633     
3DS_VERIFICATION_NEGATIVE,UNKNOWN,E500      
3DS_METHOD_POSITIVE,Marking transaction as dropped - CSW,E231      
AUCNEGATIVE,DO_NOT_PROCEED,E1302     
AUCNEGATIVE,912 | INVALID_TRANSACTION_TYPE,E207      
EVERROR,50021 | Signature Verification Failed at PG end.,E205      
EVNEGATIVE,400 | GENERAL ERROR,E500      
3DS_METHOD_POSITIVE,Marking transaction as dropped - CSW,E1206     
,,E214      
REDIRECT,Issuer authentication failure,E1703     
REDIRECT,NON SUFFICIENT FUNDS,E1703     
EVNEGATIVE, | ,E308      
3DS_CHALLENGE_NEGATIVE,101 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
3DS_METHOD_NEGATIVE,Blc|204 | Blc|FAILURE::AUTHENTICATION_NOT_SUPPORTED,E204      
REDIRECT,,E1602     
ALT_ID_PROV_ERROR,EA088|Card can currently not be used with card association for tokenization,EA088     
EVERROR,,E214      
REDIRECT,51 | Insufficient funds/over credit limit / Not sufficient funds,E706      
ACS_REDIRECT,,E000      
AUCNEGATIVE,987 | Declined by DS - Transaction is excluded from Attempts Processing,E335      
3DS_METHOD_NEGATIVE,CURL_CALL_FAILURE,E501      
AUCNEGATIVE,INVALID_TRANSACTION_TYPE,E207      
ALT_ID_PROV_ERROR,EA080|Tokenization failed,EA080     
AUCNEGATIVE,08 | No Card Record,E4346     
REDIRECT,?:waiting authentication,E1206     
AUCNEGATIVE,Cardholder Account Number is not in a range belonging to Issuer.,E500      
,Retry the transaction later,E1703     
AUCNEGATIVE,,E1602     
REDIRECT,Application error,E1206     
AUCNEGATIVE,0 | OTP Generated Successfully,E1601     
3DS_METHOD_ERROR,NOT_ENROLLED_FAILURE,E1302     
,Authentication Failed,E1703     
AUCNEGATIVE,Invalid Otp,E317      
EVPOSITIVE,GW00201 | Transaction not found,E1206     
AUCNEGATIVE,SUCCESS,E000      
,Mandatory Param Missing for Token txn store_card_token,E4510     
EVERROR,15096 | SYSTEM ERROR or PREVIOUSLY AUTHORIZED or PREVIOUSLY DECLINED,E335      
EVERROR,410 | Invalid BIN,E337      
EVPOSITIVE,,E501      
ACS_REDIRECT,0 | ,E1206     
AUCNEGATIVE,906 | Invalid card number,E335      
,Mandatory Param Missing for Token txn ccexpmon,E1101     
,PG filtering based on Network Token supported PGs ,E803      
ACS_REDIRECT,Marking transaction as dropped - CSW,E000      
AUCNEGATIVE,5005 | The country of the credit card has been blocked.,E207      
AUCNEGATIVE,50716 | Transaction declined. 3D Secure authentication failed.,E207      
,ECI 1 and ECI6,E1703     
AUCNEGATIVE,402 | DS Response is blank,E207      
AUCNEGATIVE,202 | SERVER_FAILED::Please contact customer support quoting the support code.,E1633     
AUCNEGATIVE,904 | Exceeds authentication frequency limit,E335      
AUCNEGATIVE,,E1608     
ALT_ID_PROV_ERROR,EA084|Card can currently not be used with issuer for tokenization,EA084     
REDIRECT,3D Secure authentication failed,E1703     
REDIRECT,0 | OTP Generated Successfully,E502      
,,E1605     
REDIRECT,,E000      
AUCNEGATIVE,10 | Stolen card,E310      
AUCNEGATIVE,AUTHENTICATION_FAILED | 476 | Issuer unable to perform authentication,E303      
,,E6009     
3DS_CHALLENGE_NEGATIVE,Blc|203 | Blc|response.gatewayRecommendation=DO_NOT_PROCEED,E317      
ALT_ID_PROV_ERROR,EA11 | Timeout reached from StoreCard,EA11      
EVPOSITIVE,,E802      
,Issuer authentication failure,E1703     
EVNEGATIVE,REJECT | Declined - One or more fields in the request contains invalid da,E1400     
3DS_CHALLENGE_NEGATIVE,908 | No Card record,E202      
,,E231      
3DS_METHOD_ERROR,,E500      
ALT_ID_PROV_ERROR,EA087|Invalid body values,EA087     
REDIRECT,Rupay check bin error,E1703     
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication,E202      
REDIRECT,Restricted card,E1703     
AUCNEGATIVE,905 | INVALID_TRANSACTION_TYPE,E207      
REDIRECT,00 | Authentication Request Successful,E502      
EVNEGATIVE,ERROR | UNKNOWN,E500      
ALT_ID_PROV_ERROR,EA089|Request not permitted,EA089     
REDIRECT,UNKNOWN_ERROR,E231      
3DS_VERIFICATION_NEGATIVE,0,E231      
,FILTERED_INTERNATIONAL_PGS ,E804      
,REMOVED_HEADLESS_PGS ,E803      
PG_NOT_ACTIVATED,No Active PG found for Prepaid Card,E803      
,,E6004     
AUCERROR,Pg authentication not supported on Only 3DSS Supported PGs,E308      
,PG filtering based on Pre Auth Allowed PGs for merchant ,E803      
,User Pressed cancel button,E1703     
REDIRECT,Lost card,E1703     
AUCNEGATIVE,00 | Approved or completed successfully,E000      
REDIRECT,,
ACS_REDIRECT,0 | OTP Generated Successfully,E1205     
ALT_ID_PROV_ERROR,EA080|Technical error. Please try again,EA080     
3DS_CHALLENGE_ERROR,UNKNOWN_ERROR,E501      
EVNEGATIVE,96 | Issuer System Failure,E500      
REDIRECT,ECI 7,E1703     
AUCNEGATIVE,905 | INVALID_TRANSACTION_TYPE,E231      
REDIRECT,Invalid data was posted to Issuer,E1703     
REDIRECT,Do not retry,E1703     
AUCNEGATIVE,01 | Card authentication failed,E1633     
3DS_METHOD_POSITIVE,,E1602     
REDIRECT,User was Inactive,E1703     
ACS_REDIRECT,000 | Blc|SUCCESS,E502      
3DS_VERIFICATION_NEGATIVE,Exceeds ACS maximum challenges,E1633     
EVNEGATIVE,10004 | Unable to reach card information service,E1617     
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_FAILED | Cardholder did not complete authentication | Transaction Error,E207      
AUCNEGATIVE,13 | Cardholder not enrolled in service,E1302     
3DS_METHOD_POSITIVE,CURL_CALL_FAILURE,E214      
EVNEGATIVE,REJECT | Declined - One or more fields in the request contains invalid da,E2100     
EVNEGATIVE,UNKNOWN_ERROR,E1206     
EVNEGATIVE,UNKNOWN_ERROR,E231      
3DS_METHOD_NEGATIVE,Blc|204 | Blc|SERVER_FAILED::Please contact customer support quoting the support code.,E204      
AUCNEGATIVE,202 | FAILURE::AUTHENTICATION_FAILED,E1633     
3DS_CHALLENGE_POSITIVE,Marking transaction as dropped - CSW,E231      
3DS_VERIFICATION_NEGATIVE,Invalid transaction,E1633     
AUCNEGATIVE,15 | Low confidence,E4001     
AUCNEGATIVE,Transaction data not valid,E500      
AUCNEGATIVE,00 | Authentication Request Successful,E502      
AUCNEGATIVE,5003 | The order already exists in the database.,E231      
3DS_CHALLENGE_NEGATIVE,PG_FAILED | ,E500      
AUCNEGATIVE,305 | Invalid Account Number received in the Message.,E207      
EVERROR,50021 | XML Data Error - Invalid Parameter Value - card_exp_date,E205      
REDIRECT,0 | ,E1206     
AUCPOSITIVE,Invalid Otp,E231      
AUCNEGATIVE,,
,Ibibo Code BAJAJ is not currently active on merchant,E6010     
3DS_CHALLENGE_NEGATIVE,,E317      
ACS_REDIRECT,EXPIRED CARD,E1703     
EVNEGATIVE,REJECT | UNKNOWN,E500      
ACS_REDIRECT,,E231      
EVNEGATIVE,412 | Issuer Authentication Server failure,E337      
ACS_REDIRECT,Marking transaction as dropped - CS,E231      
AUCNEGATIVE,Session timed out,E2503     
ACS_REDIRECT,Marking transaction as dropped - CSW,E231      
3DS_VERIFICATION_NEGATIVE,102,E1206     
,FILTERED_DOMESTIC_PGS ,E804      
3DS_VERIFICATION_NEGATIVE,No Card Record,E4346     
EVNEGATIVE,56 | ,E500      
EVPOSITIVE,GW00201 | Transaction not found,E231      
,Restricted card,E1703     
EVPOSITIVE,,E1206     
,SUCCESS,E231      
3DS_METHOD_NEGATIVE,NOT_ENROLLED_FAILURE,E1302     
,PG filtering based on Optional TRID ,E803      
ALT_ID_PROV_ERROR,EA081|card_not_eligible,EA081     
ACS_REDIRECT,,E503      
,Ibibo Code AMEX is not currently active on merchant,E6010     
3DS_VERIFICATION_NEGATIVE,Transaction not permitted to cardholder,E1642     
Get_cryptogram_failure,,E4932     
EVERROR, | ,E214      
3DS_CHALLENGE_NEGATIVE,901 | Card authentication failed,E202      
AUCNEGATIVE,5111 | Transaction failed. ECI1 and ECI6 transactions are not supported by merchant.,E207      
REDIRECT,,E1206     
AUCNEGATIVE,00 | Authentication Request Successful,E500      
REDIRECT,N:ACCU400:User was Inactive,E1206     
AUCNEGATIVE,UNKNOWN_ERROR,E1608     
,PG filtering based on Fixed TID Routing ,E803      
AUCNEGATIVE,0 | OTP Generated Successfully,E231      
,,E4510     
REDIRECT,62 | Restricted card,E1626     
REDIRECT,05 | Do not honor,E307      
EVNEGATIVE,400 | ,E4933     
AUCNEGATIVE,Invalid Otp,E502      
,Invalid card number (no such number),E1703     
REDIRECT,Authentication Failed,E1703     
AUCERROR,,E1302     
AUCNEGATIVE,202 | Unknown Error. Transaction Failed. Please try again later.,E1633     
REDIRECT,INVALID_REQUEST | Invalid credentials.,E202      
ALT_ID_PROV_ERROR,EA087|INVALID_VALUE,EA087     
EVNEGATIVE,413 | ,E500      
3DS_CHALLENGE_NEGATIVE,926 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
AUCINVALID,0 | ,E1601     
REDIRECT,N:-BEPG-0000017:Issuer authentication failure,E231      
ACS_REDIRECT,SUCCESS,E000      
ALT_ID_PROV_ERROR,EA085|Issuer did not respond in time. Retry the request.,EA085     
AUCPOSITIVE,,E501      
,PG filtering based on Direct Auth 3DS2 txn ,E803      
3DS_CHALLENGE_NEGATIVE,101 | RReq is not available,E202      
REDIRECT,87 | No Envelope Inserted,E231      
EVPOSITIVE,,E1202     
REDIRECT,N:ACCU600:Invalid data was posted to Issuer,E231      
AUCNEGATIVE,"303 | Access denied, invalid endpoint.",E335      
ACS_REDIRECT,0 | ,E1205     
REDIRECT,N:05:Do not honour,E231      
AUCNEGATIVE,Blc|202 | Blc|FAILURE::AUTHENTICATION_REJECTED,E335      
3DS_METHOD_ERROR,CURL_CALL_FAILURE,E214      
,UNKNOWN_ERROR,E231      
ACS_REDIRECT,62 | Restricted card,E1206     
AUCERROR,"Cannot invoke ""com.payu.cardsservice.cards.dto.response.common.FormPost.getPostUri()"" because the return value of ""com.payu.cardsservice.cards.dto.response.common.Data.getFormPost()"" is null",E207      
EVNEGATIVE,GW00201 | Transaction not found,E231      
,Validation problem,E1703     
REDIRECT,Secure Hash Mismatch,E1703     
,PG filtering based on AltId supported PGs ,E804      
AUCNEGATIVE,5102 | Transaction failed. ECI-7 transactions are not supported by merchant.,E207      
MER_025|No Transaction exists with given merchant id : MER0000005118097,,E346      
AUCNEGATIVE,,E1206     
ALT_ID_PROV_ERROR,EA080|card_market_not_supported,EA080     
AUCNEGATIVE,BIN Range inactive,E500      
AUCINVALID,00 | Authentication Request Successful,E1601     
,,E908      
AUCNEGATIVE,Invalid Otp,E501      
3DS_METHOD_NEGATIVE,56 | ,E500      
EVNEGATIVE,ERROR | Error - The request was received but there was a server timeout.,E208      
ACS_REDIRECT,,E1611     
AUCNEGATIVE,"303 | Access denied, invalid endpoint",E335      
AUCNEGATIVE,05 | Expired card,E1633     
,The order already exists in the database.,E1703     
,Secure Hash Mismatch,E1703     
EVNEGATIVE,410 | ,E500      
3DS_CHALLENGE_NEGATIVE,912 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
ACS_REDIRECT,,E1903     
AUCNEGATIVE,06 | Invalid card number,E1633     
ACS_REDIRECT,Invalid Otp,E502      
EVNEGATIVE, | ,
,REMOVED_HEADLESS_3DSS_ELIGIBLE_PGS ,E804      
REDIRECT,GW00201 | Transaction not found,E231      
PG_NOT_ACTIVATED,No Active PG found for Corporate Card,E803      
AUCNEGATIVE,05 | Expired card,E311      
ACS_REDIRECT,0 | ,E231      
,,E408      
AUCNEGATIVE,AUTHENTICATION_ATTEMPTS,E232      
ACS_REDIRECT,Marking transaction as dropped - CS,E1206     
EVERROR,15056 | No card so declined,E205      
EVNEGATIVE,412 | Transaction got declined at issuer.,E207      
REDIRECT,0 | OTP Generated Successfully,E231      
AUCERROR,"10024 | Unable the process the transaction, Authentication Failed",E303      
REDIRECT,Application error,E231      
EVPOSITIVE,,E1602     
3DS_METHOD_ERROR,,E4506     
REDIRECT,Check for New information before retry,E1703     
3DS_CHALLENGE_NEGATIVE,DO_NOT_PROCEED,E317      
3DS_METHOD_POSITIVE,UNKNOWN_ERROR,E501      
,,E2101     
,,E6006     
AUCNEGATIVE,0 | OTP Generated Successfully,452       
AUCNEGATIVE,|Decline - Invalid account number,E501      
,Mandatory Param Missing for Token txn user_credentials,E4510     
EVERROR,50021 | Invalid cvd2 passed!,E205      
ACS_REDIRECT,Marking transaction as dropped - CSW,E1206     
REDIRECT,GW00201 | Transaction not found,E1206     
EVPOSITIVE,0 | OTP Generated Successfully,E231      
3DS_METHOD_POSITIVE,,E231      
3DS_CHALLENGE_NEGATIVE,901 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
3DS_METHOD_NEGATIVE,BNF | Bin Not Found,E4934     
REDIRECT,General exception,E1703     
ALT_ID_PROV_ERROR,EA04|Invalid merchant ID configuration. Please reachout to PayU support team,EA04      
AUCNEGATIVE,Transaction ID has already been received and processed.,E500      
ACS_REDIRECT,00 | Approved or completed successfully,E000      
,?:waiting authentication,E231      
,PG filtering based on Card SI PGs ,E804      
3DS_CHALLENGE_NEGATIVE,914 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
3DS_VERIFICATION_NEGATIVE,Card authentication failed,E1633     
ALT_ID_PROV_ERROR,EA11|Service unavailable. Typically the server not able to serve the request temporarily. Retry after sometime.,EA11      
REDIRECT,Unable to verify card enrollment,E1703     
3DS_CHALLENGE_NEGATIVE,AUTHENTICATION_INVALID_REQUEST_ERROR,E914      
AUCNEGATIVE,901 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
AUCNEGATIVE,Invalid Otp,E000      
,,E2100     
,,E7001     
REDIRECT,Suspected Fraud. Do not retry,E1703     
3DS_CHALLENGE_NEGATIVE,SERVER_ERROR,E208      
ACS_REDIRECT,,E1608     
ACS_REDIRECT,K | UNKNOWN,E1206     
,Unable to get payer authentication,E1703     
ACS_REDIRECT,00 | Authentication Request Successful,E502      
3DS_VERIFICATION_NEGATIVE,Invalid transaction,E207      
,,E6007     
3DS_METHOD_NEGATIVE,400 | ,E4933     
,Ibibo Code BAJAJF is not currently active on merchant,E6010     
3DS_VERIFICATION_NEGATIVE,Transaction not permitted to cardholder,E1633     
,UNKNOWN_ERROR,E501      
REDIRECT,Communication Error,E1703     
AUCNEGATIVE,BEPG-0000017 | Issuer authentication failure,E207      
3DS_METHOD_ERROR,CURL_CALL_FAILURE,E501      
3DS_VERIFICATION_NEGATIVE,E303 | SUCCESS,E303      
AUCNEGATIVE,906 | INVALID_TRANSACTION_TYPE,E207      
ACS_REDIRECT,000 | Blc|SUCCESS,E1602     
,?:waiting authentication,E1206     
AUCNEGATIVE,305 | Transaction data not valid,E335      
3DS_CHALLENGE_NEGATIVE,901 | Blc|Authentication/ Account Verification Rejected; Issuer is rejecting,E317      
,N:05:Do not honour,E231      
,PG filtering based on KTB Bin Routing ,E804      
EVPOSITIVE,Marking transaction as dropped - CS,E1206     
AUCNEGATIVE,919 | Exceeds ACS maximum challenges,E335      
REDIRECT,0 | ,E1205     
3DS_CHALLENGE_NEGATIVE,984 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
ACS_REDIRECT,QR,E507      
REDIRECT,N:-BEPG-0000017:Issuer authentication failure,E1206     
EVPOSITIVE,,E1205     
AUCNEGATIVE,305 | Transaction ID has already been received and processed.,E207      
REDIRECT,CA | Acquirer compliance,E1206     
REDIRECT,N:ACCU400:User was Inactive,E231      
AUCNEGATIVE,Page parsing Failure,E1608     
,Rupay transaction error,E1703     
REDIRECT,Expired card,E1703     
AUCNEGATIVE,BEPG-0000013 | Failure during checkbin process,E207      
REDIRECT,Marking transaction as dropped - CS,E1206     
3DS_METHOD_POSITIVE,UNKNOWN_ERROR,E1602     
EVNEGATIVE,CTO | Network Connect Time Out,E1639     
AUCNEGATIVE,905 | Expired card,E335      
AUCNEGATIVE,Transaction ID is recognised as a duplicate.,E500      
ALT_ID_PROV_ERROR,MOF001|City name is invalid,MOF001    
ALT_ID_PROV_ERROR,EA11|internal_api_error,EA11      
AUCNEGATIVE,203 | mcc,E207      
,Ibibo Code CITD is not currently active on merchant,E6010     
,N:-50822:Processing error while provisioning Guest Checkout Token,E231      
3DS_METHOD_POSITIVE,Invalid Otp,E231      
,SUCCESS,E1206     
REDIRECT,N:-50822:Processing error while provisioning Guest Checkout Token,E1206     
3DS_METHOD_NEGATIVE, | ,
3DS_METHOD_NEGATIVE,Blc|102 | Blc|currency parameter is missing or invalid,E204      
REDIRECT,,SSER001   
AUCNEGATIVE,914 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
ACS_REDIRECT,Invalid Otp,E000      
,ERROR,E1703     
AUCNEGATIVE,Transaction Data Not Valid,E500      
,,E1205     
AUCNEGATIVE,10024 | This Card type is not allowed !!,E1101     
AUCNEGATIVE,54 | Expired card,E311      
,N:-BEPG-0000017:Issuer authentication failure,E1206     
AUCNEGATIVE,,E503      
3DS_CHALLENGE_POSITIVE,,
AUCNEGATIVE,926 | Blc|Not Authenticated /Account Not Verified; Transaction denied,E317      
,N:-5014:Validation problem,E231      
3DS_CHALLENGE_ERROR,INVALID_REQUEST | Unable to find order null and transaction null for merchant CPM00006,E231      
EVNEGATIVE,Invalid association id passed in request,E303      
ACS_REDIRECT,62 | Restricted card,E231      
EVNEGATIVE,integer overflow,E303      
AUCNEGATIVE,Retrieved transaction already used,E500      
3DS_METHOD_POSITIVE,,E1205     
3DS_METHOD_POSITIVE,UNKNOWN_ERROR,E1601     
AUCNEGATIVE,Marking transaction as dropped - CS,E1206     
3DS_METHOD_NEGATIVE,CURL_CALL_FAILURE,E231      
AUCNEGATIVE,Invalid Otp,E1611     
AUCNEGATIVE,5212 | DCC is not configured for store.,E207      
ACS_REDIRECT,genericintent,E507      
AUCNEGATIVE,408 | pArq Request timed out,E712      
AUCNEGATIVE,googlepay,E501      
AUCNEGATIVE,87 | Bad Track Data,E303      
EVERROR,50021 | Bad AcquiringBank configured for merchant_id(58853232) in pg_instance_id(37887779)!,E205      
,PG filtering based on MOTO Txn Enabled Check ,E803      
5006,,E307      
AUCNEGATIVE,201 | A message element required as defined in Table A.1 is missing from the message.,E335      
,Mandatory Param Missing for Token txn ccexpyr,E4510     
EVPOSITIVE,Marking transaction as dropped - CSW,E1206     
